Date,Open,High,Low,Close,Volume
08/18/2023,"155.00","157.95","150.05","152.70","301"
08/17/2023,"159.90","159.90","152.00","155.50","194"
08/16/2023,"156.50","156.50","147.05","154.95","230"
08/14/2023,"160.00","160.00","152.00","153.80","903"
08/11/2023,"160.00","160.00","160.00","160.00","1"
08/10/2023,"148.90","157.10","148.90","153.20","669"
08/09/2023,"152.60","155.85","152.00","155.80","428"
08/08/2023,"154.90","154.90","143.80","152.00","293"
08/07/2023,"155.00","155.85","146.50","150.60","1,053"
08/04/2023,"153.00","156.45","153.00","153.75","237"
08/03/2023,"160.95","160.95","153.00","155.00","1,188"
08/02/2023,"161.95","162.50","150.20","161.00","133"
08/01/2023,"158.00","160.00","152.15","154.80","1,172"
07/31/2023,"157.00","159.75","157.00","159.75","33"
07/27/2023,"159.00","159.50","153.00","157.00","449"
07/26/2023,"157.00","160.95","150.10","160.00","703"
07/25/2023,"161.35","161.35","157.85","157.90","144"
07/24/2023,"159.10","159.10","154.00","154.00","344"
07/21/2023,"159.10","159.10","159.10","159.10","69"
07/20/2023,"155.95","156.00","155.95","156.00","367"
07/19/2023,"158.90","160.85","151.50","153.00","667"
